Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering
Bouenza,12455,12455,12455,12455,12455,12455
Brazzaville,73456,12455,12455,12455,12455,73456
Cuvette,12455,12455,73456,73456,12455,12455
Cuvette-Ouest,12455,73456,12455,73456,12455,12455
Kouilou,73456,12455,12455,73456,12455,12455
Lékoumou,12455,12455,73456,12455,12455,73456
Likouala,12455,12455,12455,73456,12455,73456
Niari,12455,12455,12455,73456,12455,73456
Plateaux,12455,12455,12455,73456,12455,73456
Pointe Noire,12455,12455,12455,12455,12455,73456
Pool,12455,12455,12455,12455,12455,73456
Sangha,12455,12455,12455,12455,12455,73456
